ad_id,district,khoroo,mylocation,office_name,price,area,price_m2,progress_cons,title,ad_text,clean_coords,url,date,time
9437091,Баянгол,,Баруун 4 зам,GEM PALACE,570,63,9.05,Ашиглалтад орсон,Баруун 4 зам жэм паласт 63мкв оффис,"Баруун 4 зам, Gem Palace оффис, худалдаа үйлчмлгээний төвд 63.1мкв Оффис талбай ХУДАЛДАНА
10 давхарт
Үнэ: 570 сая
Бартер сонсоно",47.916677 106.897889,https://www.unegui.mn/adv/9437091_baruun-4-zam-zhem-palast-63mkv-offis/,6/16/2025,13:30
9416469,Баянзүрх,2,КТМС,,365,81,4.51,Ашиглалтад орсон,"Шинэ 100 айлд оффис 80,75 мкв","100-н айлаас зүүн тийш Шинэ айл барилгын материалын худалдааны төвд оффис зарна.
-Цонх хойшоо болон зүүн харсан
-3 давхарт
-80,75 мк
-Саруулхан өрөө тасалгаатай
-Ажлын 4 н хэсэг өрөө тасалгаатай
-Дотроо нойлгүй (үүдний харалдаа)",47.935624 106.939012,https://www.unegui.mn/adv/9416469_offis-zarna/,6/16/2025,13:21
9450490,Баянзүрх,26,Цэцэрлэгт хүрээлэн,Himchan center,487,67,7.27,Ашиглалтад орсон,Himchan center оффис 67.27мк талбай,"📣📣Үнэ буурлааа 📣📣
𝐇𝐢𝐦𝐜𝐡𝐚𝐧 𝐂𝐞𝐧𝐭𝐞𝐫-т оффис, үйлчилгээний зориулалттай талбай худалдана.
📍БЗД 26-р хороо, Сүмбэр орд хотхоны замын эсрэг талд.
9/8 давхарт | 67.27 мкв | Оффис, үйлчилгээний талбай
Нийт үнэ: 487.000.000₮
Төлбөрийн нөхцөл:
✔️Бэлэн /Бэлэн төлөлтөнд ярилцана/
✔️Банкны зээлээр авах боломжтой.
✔️Бартерт 20-30% машин сонсоно.
Нэмэлт мэдээлэл:
✔️Төв зам дагуу
✔️Гарц, орц сайтай
✔️Цутгамал бетонон караказ, шилэн фасадтай
✔️Том өргөн лифттэй
✔️Хүн амын төвлөрөл ихтэй орчинд, 35.000 хэрэглэгчтэй.
✔️Гэрчилгээ гарахад бэлэн.",47.903294 106.948778,https://www.unegui.mn/adv/9450490_himchan-center-offis-uilchilgeenii-zoriulalttai-talbai/,6/16/2025,0:57
9450279,Хан-Уул,,Мишээл,Misheel city ,689,106,6.5,Ашиглалтад орсон,Мишээл сити оффис 106мк талбай,Бартер сонсоно.,47.891921 106.887409,https://www.unegui.mn/adv/9450279_misheel-siti-106m2-offis-khudaldana/,6/15/2025,22:31
9447086,Чингэлтэй,,Баянбүрд,,210,50,4.2,Ашиглалтад орсон,Баянбүрд логос төвд оффис 50.44мк талбай,"Баянбүрдэд 50.44мвк оффис худалдана.
✅ 12/9
✅ Зүүн харсан цэлгэр цонхтой
✅ Хотын төвд
✅ Засвар хийх шаардлагагүй
✅ Эргэн тойронд автозогсоол сайтай
Үнэ: 210,000,000
https://maps.app.goo.gl/ubDuow7m6tMt13Kr9?g_st=com.google.maps.preview.copy",47.928945 106.906205,https://www.unegui.mn/adv/9447086_baianburd-logos-tovd-50-44-mvk/,6/14/2025,20:53
9443778,Баянзүрх,26,Цэцэрлэгт хүрээлэн,,216,48,4.5,Ашиглалтад орсон,Парк Вью хотхонд оффис 48мк талбай,"Парк Вью хотхонд студийн зориулалтаар ашиглаж байсан 47,35м2 талбай худалдана.",47.903294 106.948778,https://www.unegui.mn/adv/9443778_studiin-zoriulalttai-talbai-zarna/,6/13/2025,18:27
9381076,Чингэлтэй,2,"40, 50 мянгат",,850,130,6.54,Ашиглалтад орсон,"Оффис, үйлчилгээний талбай","Бөмбөгөр худалдааны төвийн хажууд 130мкв талбайтай оффис, үйлчилгээний талбай худалдана. Өвөлдөө дулаахан. Гадна харууц сайтай. Үйлчилгээний төв, автобусны буудалтай ойр.",47.917773 106.898907,https://www.unegui.mn/adv/9381076_bairlal-saitai-offis-uilchilgeenii-talbai-khudaldana/,6/13/2025,16:06
9442977,Баянгол,,Баруун 4 зам,Grand office,649,118,5.5,Ашиглалтад орсон,Баруун 4 зам grand plaza- д оффис талбай,"Баруун 4 зам Grand plaza- д оффис талбай худалдана
- Урагшаа болон баруун харсан цонхтой
- Дотроо АЦӨ-тэй
- Гэрчилгээ бэлэн",47.916677 106.897889,https://www.unegui.mn/adv/9442977_baruun-4-zam-grand-plaza-d-offis-talbai-khudaldana/,6/13/2025,14:55
8734441,Сүхбаатар,,11-р хороолол,,410,82,5,Ашиглалтад орсон,11-р хорооллын зам дагуу office,"11-р хорооллын зам дагуу, байршил сайтай, Хаан банктай байрны 3 давхарт офиссийн талбай худалдана.",47.924962 106.927646,https://www.unegui.mn/adv/8734441_office-khudaldana/,6/11/2025,13:51
9402438,Хан-Уул,,120 мянгат,Гэгээнтэн office center,1233,137,9,Ашиглалтад орсон,Гэгээнтэн цогцолборт 137.28 м2 оффис,"🏢Гэгээнтэн цогцолбор 137.28 м2 оффис зарна.
Хаяг: Хан-Уул дүүрэг, 15-р хороо, Тэмээтэй хөшөөний зүүн урд зам дагуу Гэгээнтэн цогцолбор хойд оффис 10 давхар
Талбай: 137.28 м2 маш цэвэрхэн дотроо ариун цэврийн өрөөтэй
Үнэ: м2 9 сая
🌇🏙🌠Харагдац: Баруун болон хойд зүг рүү харсан 2 талд цэлгэр цонхтой давхартаа 3 ААН тэй
🚘В1 давхарт 1 авто машины дулаан зогсоолтой
Тавилга үнэ тохиролцоно
Дотроо ариун цэврийн өрөөтэй
Жич: ✅Агент оролцуулахгүй
✅Нэр шилжих гэрчилгээ хувь хүн дээр бэлэн байна
✅Бартер хийх боломжгүй
✅Авто зогсоол тусдаа 60 сая үнэлгээтэй
✅БАНК болон ББСБ-ын зээлээр авах боломжтой",47.901399 106.910038,https://www.unegui.mn/adv/9402438_gegeenten-tsogtsolbor-offis-137-28-m2/,6/8/2025,21:09
9432807,Чингэлтэй,,Тэнгис,,790,143,5.52,Ашиглалтад орсон,Чд-ийн хажууд оффис үйлчилгээний талбай,"Хотын төвд ЧД-ийн хажууд #оффис үйлчилгээний талбай худалдана
📍143мкв
📍4 өрөө
📍8/3 давхарт
📍Үл хөдлөхийн гэрчилгээ бэлэн",47.9229357794646 106.904755282749,https://www.unegui.mn/adv/9432807_chd-iin-khazhuud-offis-uilchilgeenii-talbai-khudaldana/,6/20/2025,11:46
9209604,Хан-Уул,15,Зайсан хойно,Uniq center,365,50,7.3,Ашиглалтад орсон,Хан-уул e-mart худалдааны төвийн урд uniq center -т 50мкв оффис,"🏢хан-уул e-mart худалдааны төвийн урд төв зам дагуу uniq center -т 50мкв оффис талбай худалдана.
үнэ: м2-7.300.000 сая
50м2 - 365.000.000
-5 давхарт
-зүүн, баруун харсан цонхтой
-ариун цэврийн өрөөтэй
-2 орц гарцтай
-төв зам дагуу
-бүх төрлийн үйлчилгээ явуулах боломжтой",47.900294 106.917729,https://www.unegui.mn/adv/9209604_khan-uul-e-mart-khudaldaany-toviin-urd-uniq-center-t-50mkv-offis/,6/20/2025,11:43
9209528,Хан-Уул,15,Зайсан хойно,Uniq center,182.5,25,7.3,Ашиглалтад орсон,Худ e-mart урд оффис 25мкв,"🏢Хан-Уул E-mart худалдааны төвийн урд төв зам дагуу UNIQ CENTER -т оффисын талбайг бүтнээр болон хэсэгчилж худалдана.
Үнэ: м2-7.300.000 сая
- 25м2 – 182.500.000
-5 давхарт
-Зүүн, баруун харсан цонхтой
-Ариун цэврийн өрөөтэй
-2 орц гарцтай
-Төв зам дагуу
-Бүх төрлийн үйлчилгээ явуулах боломжтой",47.900294 106.917729,https://www.unegui.mn/adv/9209528_khud-e-mart-urd-offis-zarna/,6/20/2025,11:43
9267795,Баянгол,,Баруун 4 зам,Grand office,1350,242,5.58,Ашиглалтад орсон,Гранд плазад оффис,"#Гранд_плазад , #GrandPlaza тохижилттой оффис худалдана.
- 242,1мk талбайтай
- 12/9давхарт
- Урагшаа, зүүн, баруун харсан цонхтой
- Тавилга, тохижилтыг дагалдуулж өгнө
- м2- 5,6сая₮/ Нийт үнэ 1.355.760.000",47.916677 106.897889,https://www.unegui.mn/adv/9267795_grand-plazad-grandplaza-tokhizhilttoi-offis-khudaldana/,6/19/2025,22:46
9373994,Баянзүрх,,13-р хороолол,,880,182,4.84,Ашиглалтад орсон,"13-р хороололд 182м2 оффис, үйлчилгээний талбай","🏢13 хороолол Шинэ монгол сургуулийн баруун талд 182мкв оффис, үйлчилгээний талбай #ХУДАЛДАНА
▪️1 давхарт, хойшоо урагшаа харууцтай. Агаар сэлгэлт маш сайн
▪️Оффис, Цэцэрлэг сургалтын төв, өдөр өнжүүлэх бүхий л чиглэлээр ашиглах боломжтой
▪️Шинэ Монгол, Оюунлаг, Шинэ үе, Төгс дэлгэрэх сургуулиудтай ойр
▪️Төвийн шугаманд холбогдсон
▪️380 V цахилгаантай
▪️Шалны халаалттай
▪️Тохижилттой. Суурилуулсан тавилгууд үлдэнэ
Худалдах үнэ: 880 сая₮
#оффис #үйлчилгээ",47.913249 106.938278,https://www.unegui.mn/adv/9373994_13-r-khoroolold-182m2-offis-uilchilgeenii-talbai-zarna/,6/19/2025,22:45
9132959,Сүхбаатар,,Бага тойрог,Metro business center,230.3,47,4.9,Ашиглалтад орсон,"Метро молл-н, метро бизнес төвийн хойно 46.8м2 оффис","Хотын ААА байрлал, Metro mall худалдааны төвийн ард Metro Business Center- t оффис худалдна.
46.8 м2 _ үнэ м2 > 4.8 сая
< 5.2 сая / тавилгатай/",47.922769 106.917593,https://www.unegui.mn/adv/9132959_metro-moll-n-metro-bizenes-toviin-khoino-46-8m2-offis/,6/19/2025,22:08
9437925,Сүхбаатар,9,Дөлгөөн нуур,Хоймор оффис,261.3,67,3.9,Ашиглалтад орсон,"Сбд, дөлгөөн нуурын тойрог, хоймор оффисд 67,42м2 оффис","Сүхбаатарын тайлбайгаас ердөө 1км-ийн зайд байрших бүрэн үйлчилгээт Хоймор оффист, оффис худалдна.
🟩 Япон стандартын хөрөнгийн менежмент
🟩 Цэвэрлэгээ үйлчилгээ
🟩 24/7 харуул хамгаалалт
🟩 Ашиглалтын зардалд цэвэрлэгээ үйлчилгээ багтсан",47.931917 106.912458,https://www.unegui.mn/adv/9437925_sbd-dolgoon-nuurt-khoimor-offisd-offis-khudaldna/,6/19/2025,22:05
9282452,Баянгол,,Тээврийн товчоо,JS tower,550,100,5.5,Ашиглалтад орсон,Бгд нарны гүүрний зүүн хойно js tower-т 100мкв оффис,"Нарны гүүрний зүүн хойно JS tower-т 100мкв оффис худалдана
• 4 давхарт
• урагшаа, баруун, хойшоо харсан
• гэрчилгээ бэлэн
• дотроо ариун цэврийн өрөөтэй
• 3 жижиг өрөө 1 том заалтай
• цайны өрөөтэй
мкв үнэ: 5.5сая",47.912084 106.894862,https://www.unegui.mn/adv/9282452_narny-guurnii-zuun-khoino-js-tower-t-100mkv-offis-khudaldana/,6/19/2025,16:42
9452571,Баянзүрх,,Дүнжингарав,,1420,283,5.02,Ашиглалтад орсон,"Худалдаа үйлчилгээ, сургалтын төв, цэцэрлэг, оффис","🌟 Худалдах үйлчилгээний талбай - ЧУХАГ 2 хотхонд
📍 Байршил: БЗД, 26-р хороо, Дүнжингарав худалдааны төвийн урд, ЧУХАГ-2 хотхон
🏢 Талбайн хэмжээ: 283.7 м.кв
📐 Давхар: 2 давхарт
📄 Эзэмшлийн гэрчилгээ бэлэн
💰 Үнэ: 1 м.кв = 5,000,000₮
Нийт үнэ: 1,418,500,000₮
💳 Төлбөрийн нөхцөл:
• Банк болон ББСБ-ийн зээлээр авах боломжтой
• Бартер сонсоно
• Бэлэн төлөлтөөр худалдана",47.9043790983856 106.948672858817,https://www.unegui.mn/adv/9452571_khudaldaa-uilchilgee-surgaltyn-tov-tsetserleg-offis-bolgozh-ashiglakh-bolomzhtoi/,6/16/2025,15:43
9384075,Чингэлтэй,,Бөмбөгөр,MN tower,462,60,7.7,Ашиглалтад орсон,"Тэнгис, МН тауэр 60 мкв оффис","MN Tower, 60м² Оффисын талбай худалдана.
16 давхарт
Цонхны харууц: Баруун
Нийт үнэ: 462,000,000₮
(М² үнэ: 7,700,000₮)
Онцлогууд:
• Хотын төвийн А зэрэглэлийн байршил
• Цэвэрхэн тохижилттой, ашиглалтад орсон
• Өндөр зэрэглэлийн оффисын орчин
• Саруулхан, байгалийн гэрэл сайтай",47.9194651787068 106.904787349781,https://www.unegui.mn/adv/9384075_tengis-mn-tauer-60-mkv-offis/,6/16/2025,13:50
9005605,Сүхбаатар,,Хүүхдийн 100,Seoul plaza,650,65,10,Ашиглалтад орсон,Seoul plaza-д оффис,"Хотын төвд ААА зэрэглэл хүүхдийн 100-д байрлах Seoul plaza-д 65м- оффис худалдана. Маш цэвэрхэн цэвэрлэгээ сайтай. - 24 цаг ажиллах боломжтой.
- 10/6 давхарт
- Урагшаа харсан цонхтой
- Гал тогооны хэсэгтэй
- Шилэн хаалттай 1 өрөөтэй
Төлбөрийн нөхцөл бэлэн болон банкаар худалдаж авах боломжтой.
Гэрчилгээ бэлэн.",47.9131348714244 106.902142765518,https://www.unegui.mn/adv/9005605_seoul-plaza-d-offis-khudaldana/,6/16/2025,13:32
9344603,Сүхбаатар,1,Талбай,,3200,320,10,Ашиглалтад орсон,"СБД, 1-р хороо ААА байршилд 320 м2 оффис","💎СБД 1 хороо ААА байршилд 320м2 оффис худалдана.
Үнэ:3.2тэрбум₮.
✅Засвар сайтай, олон өрөөтэй
✅Таазны өндөр 5м, Харагдац сайхан
-Блю скай, Меру товер, ICC, Шангрила, Чойжин музей, Хуримын ордонгийн хажууд",47.912432 106.921754,https://www.unegui.mn/adv/9344603_sbd-1-khoroo-aaa-bairshild-320m2-offis/,6/16/2025,8:16
9216881,Хан-Уул,2,19-р хороолол,Misheel city ,795,106,7.5,Ашиглалтад орсон,Мишээл сити м1-т оффис,"Ашиглалтанд орсон засвар хийсэн 106.53м2 оффис болон бусад зориулалтаар ашиглаж болохоор талбай худалдана. Бартер сонсоно. харууц маш гоё, 17 давхарт",47.893878 106.887541,https://www.unegui.mn/adv/9216881_misheel-siti-m1-t-offis-zarna/,6/15/2025,22:12
9286270,Чингэлтэй,,5-р сургууль,,472.58,91,5.19,Ашиглалтад орсон,"Хотын төвд суис-н дэргэд оффис 90,88мкв","📸Хотын төвд ОФФИС ХУДАЛДАНА.
⚜️СУИС баруун талд САН АПАРТМЕНТ-д 90,88мкв оффис, үйлчилгээний талбайг яаралтай ХЯМД худалдана.
▪️5/3 давхарт, зүүн цонхтой,
▪️Дотроо устай,
〽️Мкв 5,2сая₮ (Гэрчилгээ бэлэн)",47.9249879447153 106.911617628072,https://www.unegui.mn/adv/9286270_khotyn-tovd-suis-n-derged-offis-khudaldana/,6/15/2025,13:45
9400365,Сүхбаатар,,Цирк,,1530,170,9,Ашиглалтад ороогүй,Сант сургуулийн баруун талд оффисийн талбай 170м2,"Сант сургуулийн баруун талд удахгүй ашиглалтад орох оффисийн талбай худалдана
🔥 MEGA CENTRO - Танд тансаг орчин, таатай байршлыг санал болгож байна.🔥
Яагаад авах ёстой вэ?
🏙 ААА зэрэглэлийн бүс, СБД 2-р хороо Аса циркийн урд, “Сант” сургууль, ЕБ-ийн 31-р сургуулийн баруун тал, Нарны зам дагуу байрлалтай
🏗 Газар хөдлөлтийн 8 баллд тэсвэртэй инженерийн шийдэл
🌿 Айл бүрийн агаарын чанарыг сайжруулах цэвэршүүлэх систем
🔇 REYNAERS брэндийн гадна орчны дуу чимээ, тоос шороог бүрэн тусгаарлах шилэн фасад
Яарах ёстой шалтгаан:
✨ Цөөхөн үлдсэн
5-р давхрын 170 м² талбайтай, 3 тал руугаа буюу урагшаа, зүүн, баруун харсан цонх бүхий агаар сэлгэлт, үзэгдэх харагдац сайтай, үйлчилгээ болон оффисын зориулалттай талбай
Хэзээ ашиглалтад орох вэ:
📅 Ашиглалтанд орох хугацаа: 2025.08.01",47.911254 106.901097,https://www.unegui.mn/adv/9400365_sant-surguuliin-baruun-tald-udakhgui-ashiglaltad-orokh-offisiin-talbai-khudaldana/,6/15/2025,10:03
7718316,Хан-Уул,15,Зайсан хойно,,788.5,83,9.5,Ашиглалтад орсон,Их наяд зүүн өндөр 8давхарт 83м2 оффис талбай,"Их Наяд Зүүн Өндөр 16 давхар барилгын 8-р давхарт 83м2 оффисын талбай зарна.
🏷️Төлбөрийн нөхцөл: банкны зээл, бэлэн болон 20-30%-д бартер сонсоно
🏷️Олны танил болсон худалдаа үйлчилгээний салбарт та бүхнийг хамтран ажиллахыг санал болгож байна.",47.900294 106.917729,https://www.unegui.mn/adv/7718316_ikh-naiad-zuun-ondor-8davkhart-83m2-offis-talbai/,6/13/2025,10:45
8878965,Сүхбаатар,6,МУИС,Gem castle,550,55,10,Ашиглалтад орсон,Хотын төвд gem castle төсөлд оффисын талбай,"Хотын төвд Метромалл дэлгүүрийн замын урд талд оффисын талбай худалдана.
- Талбайн сонголтуудтай
- Ашиглалтанд орсон
- Засгийн газрын яамдууд,Төрийн ордон, ТӨХК-ын оффисуудтай маш ойр
- Урагшаа болон зүүн харсан цонхнуудтай
Үнэ цэнэтэй байрлалд бизнессийн орчиндоо хөрөнгө оруулалт хийхийг таньд санал болгож байна.",47.925535 106.917694,https://www.unegui.mn/adv/8878965_khotyn-tovd-gem-castle-tosold-offisyn-talbai-khudaldana/,6/13/2025,9:24
9436388,Сүхбаатар,,Дөлгөөн нуур,Хоймор оффис,262.9,67,3.92,Ашиглалтад орсон,Хоймор оффист 67 мкв оффис,Хотын төвд ойр 2-р давхарт баруун зам руу харсан 2 цонхтой сайхан оффиссоо зарна,47.929336 106.913516,https://www.unegui.mn/adv/9436388_khoimort-ofiss-zarna/,6/11/2025,17:39
9408161,Баянзүрх,,Сансар,,2000,600,3.33,Ашиглалтад орсон,Сансар их засаг сургуулийн баруун талд оффис 600мк талбай,"🌱БЗД, Сансар Их засаг сургуулийн баруун талд 600 мкв оффис, #үйлчилгээний_талбай худалдана.
- 16/04 давхарт
- баруун, зүүн, урд зүгрүү харууцтай
- 2023 онд ашиглалтанд орсон
- гэрчилгээн дээр 430 мкв, бодит хэмжээ 600 мкв
- гэрчилгээ бэлэн
- 8 өрөөтэй",47.922859 106.940931,https://www.unegui.mn/adv/9408161_sansar-ikh-zasag-surguuliin-baruun-tald-600-mkv-offis/,6/10/2025,17:02
9432660,Сүхбаатар,1,Талбай,Gerege tower,1960,261,7.51,Ашиглалтад орсон,Хотын төвд Gerege tower-т 261.85 m2 оффисын талбай,"Хотын төвд Gerege tower-т 261.85m2 оффисын талбай худалдана
м2 үнэ: 7,500,000
Нийт үнэ: 1,963,875,000
Талбайн хэмжээ: 261.85m2
Байршил: Хүүхдийн паркийн баруун талд
Давхар: 2 давхарт
Ашиглалтад орсон он: 2014 он
Төлбөрийн нөхцөл: Бэлэн, банк, бартер сонсоно
Давуу тал: : Хотын төвд, төв зам дагуу байрлалтай,
оффис, үйлчилгээний чиглэлээр ашиглах боломжтой
Өсөн нэмэгдэх үнэ цэнэ
Цаг хугацаа хэмнэлт
Бүрэн засвартай
Үйлдвэрлэл, оффис, үйлчилгээ, агуулах, бүх төрлөөр ашиглах боломжтой",47.912432 106.921754,https://www.unegui.mn/adv/9432660_khotyn-tovd-gerege-tower-t-261-85m2-offisyn-talbai/,6/10/2025,16:16
9366248,Сүхбаатар,,Дөлгөөн нуур,,2491,530,4.7,Ашиглалтад орсон,Дөлгөөн нуурт зам дагуу оффис үйлчилгээний талбай 530м2,"Дөлгөөн_нуурт зам дагуу оффис үйлчилгээний талбай худалдана
✅️2р давхарт 265.12мкв
✅️3-р давхарт 265.12мкв
✅️ зам дагуу
✅️ бэлэн түрээслэгчтэй
✅️ давхартаа 5н өрөөний хуваалттай
✅️3р давхар хуваалтгүй томоороо (одоогоор биллиард ажиллаж бгаа)
💲Үнэ-4.7сая
Цаг тохирч үзүүлнэ
төлбөрийн нөхцөл бэлэн болон банкаар 20%-д нь бартер оролцуулна",47.929336 106.913516,https://www.unegui.mn/adv/9366248_dolgoon-nuurt-zam-daguu-offis-uilchilgeenii-talbai-khudaldana/,6/10/2025,13:42
